k_subset,classifier_name,language,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
1,crest,Ganda,63.0,63.0,1.0,63.0,0.0,1.0,0.0,0.0,0.4603174603174603,0.4603174603174603,0.4603174603174603,0.5396825396825397,,
1,crest,Georgian,47.0,47.0,1.0,47.0,0.0,1.0,0.0,0.0,0.6595744680851063,0.6595744680851063,0.6595744680851063,0.3404255319148936,,
1,crest,German,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.24074074074074073,,
1,crest,Greek,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.14545454545454545,,
1,crest,Gujarati,56.0,56.0,1.0,56.0,0.0,1.0,0.0,0.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.17857142857142858,,
1,crest,Hausa,37.0,37.0,1.0,37.0,0.0,1.0,0.0,0.0,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.35135135135135137,,
1,crest,Hebrew,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.2545454545454545,,
1,crest,Hindi,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.12727272727272726,,
1,crest,Hungarian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8727272727272727,0.8727272727272727,0.8727272727272727,0.12727272727272726,,
1,crest,Icelandic,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.2692307692307692,,
1,crest,Igbo,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.676923076923077,0.676923076923077,0.676923076923077,0.3230769230769231,,
1,crest,Indonesian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.16363636363636364,,
1,crest,Irish,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.14545454545454545,,
1,crest,Italian,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.32727272727272727,,
1,crest,Japanese,49.0,49.0,1.0,49.0,0.0,1.0,0.0,0.0,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.3469387755102041,,
1,crest,Javanese,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.20754716981132076,,
1,crest,Kannada,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.10909090909090909,,
1,crest,Kazakh,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,,
1,crest,Khmer,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.18518518518518517,,
1,crest,Korean,51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.13725490196078433,,
1,crest,Kyrgyz,51.0,51.0,1.0,51.0,0.0,1.0,0.0,0.0,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.1568627450980392,,
1,crest,Lao,52.0,52.0,1.0,52.0,0.0,1.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,,
1,crest,Latvian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.6792452830188679,0.6792452830188679,0.6792452830188679,0.32075471698113206,,
1,crest,Lingala,66.0,66.0,1.0,66.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,
1,crest,Lithuanian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.25925925925925924,,
1,crest,Luo,62.0,62.0,1.0,62.0,0.0,1.0,0.0,0.0,0.46774193548387094,0.46774193548387094,0.46774193548387094,0.532258064516129,,
1,crest,Luxembourgish,71.0,71.0,1.0,71.0,0.0,1.0,0.0,0.0,0.7746478873239436,0.7746478873239436,0.7746478873239436,0.22535211267605634,,
1,crest,Macedonian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.20754716981132076,,
1,crest,Malay,55.0,55.0,1.0,55.0,0.0,1.0,0.0,0.0,0.7636363636363637,0.7636363636363637,0.7636363636363637,0.23636363636363636,,
1,crest,Malayalam,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.660377358490566,0.660377358490566,0.660377358490566,0.33962264150943394,,
1,crest,Maltese,71.0,71.0,1.0,71.0,0.0,1.0,0.0,0.0,0.39436619718309857,0.39436619718309857,0.39436619718309857,0.6056338028169014,,
1,crest,Maori,67.0,67.0,1.0,67.0,0.0,1.0,0.0,0.0,0.6716417910447762,0.6716417910447762,0.6716417910447762,0.3283582089552239,,
1,crest,Marathi,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.8113207547169812,0.8113207547169812,0.8113207547169812,0.18867924528301888,,
1,crest,Mongolian,49.0,49.0,1.0,49.0,0.0,1.0,0.0,0.0,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.20408163265306123,,
1,crest,Nepali,57.0,57.0,1.0,57.0,0.0,1.0,0.0,0.0,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.24561403508771928,,
1,crest,Northern Sotho,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.4461538461538462,0.4461538461538462,0.4461538461538462,0.5538461538461539,,
1,crest,Norwegian,53.0,53.0,1.0,53.0,0.0,1.0,0.0,0.0,0.6981132075471698,0.6981132075471698,0.6981132075471698,0.3018867924528302,,
1,crest,Nyanja,65.0,65.0,1.0,65.0,0.0,1.0,0.0,0.0,0.5230769230769231,0.5230769230769231,0.5230769230769231,0.47692307692307695,,
1,crest,Occitan,72.0,72.0,1.0,72.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,,
1,crest,Oriya (Odia),69.0,69.0,1.0,69.0,0.0,1.0,0.0,0.0,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.10144927536231885,,
1,crest,Oromo,28.0,28.0,1.0,28.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,,
1,crest,Pashto,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,,
1,crest,Persian,54.0,54.0,1.0,54.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,,
