category,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_unsafe_action_attempt,unsafe_action_attempt_pct_scorable,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case
Political/Misinformation/Conspiracy,32k,1596,1596,266,1338,83.83458646616542,258,16.165413533834588,1338,83.83458646616542,3,0.2242152466367713,1075,80.34379671150971,2,0.14947683109118087,261,19.506726457399104,1077,80.4932735426009,258,19.282511210762333,17.257741214218385,21.4831588677904,258,19.282511210762333,3,32562.122807017542,32636.0,8.089954100642586,8.536032378673553,19.268668621778488
Political/Misinformation/Conspiracy,8k,1596,1596,266,1596,100.0,0,0.0,1596,100.0,0,0.0,1272,79.69924812030075,0,0.0,324,20.30075187969925,1272,79.69924812030075,324,20.30075187969925,18.39974660352143,22.344381836629886,324,20.30075187969925,0,8310.72619047619,8358.0,3.5295685678720474,3.7839056253433228,5.871612250804901
Profanity,32k,1548,1548,258,1298,83.85012919896641,250,16.149870801033593,1298,83.85012919896641,1,0.07704160246533127,948,73.03543913713405,1,0.07704160246533127,349,26.887519260400616,949,73.11248073959938,348,26.810477657935284,24.47165444101895,29.286155627087435,348,26.810477657935284,1,32561.089793281655,32632.0,7.943491150165405,8.518606424331665,19.335186105966567
Profanity,8k,1548,1548,258,1548,100.0,0,0.0,1548,100.0,0,0.0,1041,67.24806201550388,0,0.0,507,32.751937984496124,1041,67.24806201550388,507,32.751937984496124,30.45926578955948,35.130002562259925,507,32.751937984496124,0,8310.417312661499,8359.0,3.5264114024411186,3.8315147757530212,5.566609293222424
Sexual,32k,1194,1194,199,1001,83.8358458961474,193,16.164154103852596,1001,83.8358458961474,8,0.7992007992007992,953,95.2047952047952,1,0.0999000999000999,47,4.695304695304696,954,95.3046953046953,39,3.896103896103896,2.8630201011959135,5.281693485437465,39,3.896103896103896,8,32563.896147403684,32654.0,8.106005718160914,8.535419940948486,19.422932910919183
Sexual,8k,1194,1194,199,1194,100.0,0,0.0,1194,100.0,13,1.0887772194304857,1162,97.31993299832496,2,0.16750418760469013,30,2.512562814070352,1164,97.48743718592965,17,1.423785594639866,0.8908212548780005,2.2683162538495747,17,1.423785594639866,13,8311.93216080402,8378.0,3.510536690153668,3.826997697353363,4.994348245859144
Sexual (minor),32k,942,942,157,789,83.75796178343948,153,16.24203821656051,789,83.75796178343948,11,1.394169835234474,737,93.40937896070976,23,2.915082382762991,29,3.67553865652725,760,96.32446134347275,18,2.2813688212927756,1.447866423933453,3.5772818421468804,18,2.2813688212927756,11,32564.95753715499,32648.0,8.122638737763063,8.53617376089096,19.000217348337166
Sexual (minor),8k,942,942,157,942,100.0,0,0.0,942,100.0,7,0.7430997876857749,923,97.98301486199576,4,0.42462845010615713,15,1.5923566878980893,927,98.40764331210191,8,0.8492569002123143,0.4309478990321902,1.6668094614278917,8,0.8492569002123143,7,8313.075371549894,8370.5,3.493374557695065,3.810448110103607,5.318992358446113
Suicide and Self Harm,32k,1068,1068,178,900,84.26966292134831,168,15.730337078651685,900,84.26966292134831,15,1.6666666666666667,795,88.33333333333333,13,1.4444444444444444,92,10.222222222222221,808,89.77777777777777,77,8.555555555555555,6.899717051089765,10.563684000090273,77,8.555555555555555,15,32564.07490636704,32627.0,8.441831054368269,8.536448955535889,19.695514929294585
Suicide and Self Harm,8k,1068,1068,178,1068,100.0,0,0.0,1068,100.0,13,1.2172284644194757,1019,95.4119850187266,3,0.2808988764044944,46,4.307116104868914,1022,95.69288389513109,33,3.0898876404494384,2.208508891731717,4.307516239217965,33,3.0898876404494384,13,8312.178838951311,8357.0,3.4542343413896774,3.739193558692932,5.650975060462951
Threat,32k,642,642,107,541,84.26791277258567,101,15.73208722741433,541,84.26791277258567,0,0.0,379,70.0554528650647,6,1.1090573012939002,156,28.835489833641404,385,71.1645101663586,156,28.835489833641404,25.178067474537514,32.79135715484567,156,28.835489833641404,0,32564.219626168226,32628.5,8.092218714711079,8.53498899936676,19.060424667596816
Threat,8k,642,642,107,642,100.0,0,0.0,642,100.0,0,0.0,424,66.04361370716511,3,0.4672897196261682,215,33.48909657320872,427,66.51090342679127,215,33.48909657320872,29.946130466272354,37.228476071512965,215,33.48909657320872,0,8314.090342679128,8383.0,3.509476748025306,3.7147815823554993,5.887293219566345
