guard_subset,context_length_name,unsafe_prompt_position,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
crest,8k,end,2474,2474,1237,2474,100.0,0,0.0,2474,100.0,6,0.2425222312045271,1933,78.13257881972514,1,0.04042037186742118,540,21.827000808407437,1934,78.17299919159257,534,21.584478577202912,20.008051874736005,23.24901184922102,6,8310.571544058206,8365.5,3.373752599342658,3.0170857906341553,5.869931101799011,2474
crest,8k,middle,2474,2474,1237,2474,100.0,0,0.0,2474,100.0,40,1.6168148746968471,1676,67.7445432497979,2,0.08084074373484236,796,32.17461600646726,1678,67.82538399353274,756,30.55780113177041,28.77391447919453,32.40197122667081,40,8311.14308811641,8393.0,3.935461174266032,3.9857075214385986,6.159656763076782,2474
guardreasoner,32k,beginning,204,204,102,204,100.0,0,0.0,204,100.0,4,1.9607843137254901,166,81.37254901960785,1,0.49019607843137253,37,18.137254901960784,167,81.86274509803921,33,16.176470588235293,11.756552380962933,21.846685017859745,4,32564.235294117647,32619.5,6.898450428072144,4.823972940444946,10.495745903253555,204
guardreasoner,32k,end,204,204,102,204,100.0,0,0.0,204,100.0,0,0.0,185,90.68627450980392,0,0.0,19,9.313725490196079,185,90.68627450980392,19,9.313725490196079,6.043722403074423,14.087708091161549,0,32557.17156862745,32616.0,13.184688759785072,10.492785573005676,19.856817650794984,204
guardreasoner,32k,middle,204,204,102,107,52.450980392156865,97,47.549019607843135,107,52.450980392156865,0,0.0,95,88.78504672897196,0,0.0,12,11.214953271028037,95,88.78504672897196,12,11.214953271028037,6.532881881547753,18.585389852616867,0,32562.426470588234,32616.5,3.8516185207694185,4.680526554584503,10.638002049922942,204
guardreasoner,8k,beginning,204,204,102,204,100.0,0,0.0,204,100.0,0,0.0,171,83.82352941176471,0,0.0,33,16.176470588235293,171,83.82352941176471,33,16.176470588235293,11.756552380962933,21.846685017859745,0,8309.225490196079,8356.5,3.320815756040461,3.4986793994903564,4.287836027145386,204
guardreasoner,8k,end,204,204,102,204,100.0,0,0.0,204,100.0,0,0.0,188,92.15686274509804,0,0.0,16,7.8431372549019605,188,92.15686274509804,16,7.8431372549019605,4.885150929886264,12.35946379908113,0,8309.29411764706,8356.5,3.3237314633294646,2.9850667119026184,4.668604493141174,204
guardreasoner,8k,middle,204,204,102,204,100.0,0,0.0,204,100.0,1,0.49019607843137253,174,85.29411764705883,0,0.0,30,14.705882352941176,174,85.29411764705883,29,14.215686274509803,10.083673361509671,19.670476350288236,1,8311.06862745098,8337.0,3.961461948997834,3.969083845615387,6.109164065122604,204
wildguard,32k,beginning,36,36,18,36,100.0,0,0.0,36,100.0,0,0.0,31,86.11111111111111,0,0.0,5,13.88888888888889,31,86.11111111111111,5,13.88888888888889,6.081815009132837,28.659530389356203,0,32558.083333333332,32604.5,7.43646813929081,4.778621107339859,19.40601536631584,36
wildguard,32k,end,36,36,18,36,100.0,0,0.0,36,100.0,0,0.0,34,94.44444444444444,0,0.0,2,5.555555555555555,34,94.44444444444444,2,5.555555555555555,1.5369986664161852,18.144657208647253,0,32558.166666666668,32600.5,14.958496865299013,10.661355972290039,34.461882799863815,36
