language,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Icelandic,Qwen2.5-14B,228,228,38,190,83.33333333333333,38,16.666666666666668,190,83.33333333333333,5,2.6315789473684212,156,82.10526315789474,2,1.0526315789473684,32,16.842105263157894,158,83.15789473684211,27,14.210526315789474,9.95361295487546,19.88595757487289,5,20690.09649122807,20690.5,6.010538026951907,4.472237408161163,18.664817458391187,0
Igbo,Llama-3.1-8B,336,336,56,336,100.0,0,0.0,336,100.0,0,0.0,271,80.6547619047619,0,0.0,65,19.345238095238095,271,80.6547619047619,65,19.345238095238095,15.477839649906239,23.90565972805254,0,20181.446428571428,20212.0,5.314290533640555,4.334475010633469,10.697451531887054,0
Igbo,Qwen2.5-14B,336,336,56,280,83.33333333333333,56,16.666666666666668,280,83.33333333333333,19,6.785714285714286,178,63.57142857142857,0,0.0,102,36.42857142857143,178,63.57142857142857,83,29.642857142857142,24.598417935847905,35.23831610799202,19,20691.214285714286,20691.5,5.585333294456913,4.418647885322571,18.4231376349926,0
Indonesian,Llama-3.1-8B,144,144,24,144,100.0,0,0.0,144,100.0,0,0.0,139,96.52777777777777,0,0.0,5,3.4722222222222223,139,96.52777777777777,5,3.4722222222222223,1.4920742375757765,7.8702919965679214,0,20181.159722222223,20194.5,5.236204117950466,4.271993905305862,10.707137942314146,0
Indonesian,Qwen2.5-14B,144,144,24,120,83.33333333333333,24,16.666666666666668,120,83.33333333333333,0,0.0,102,85.0,5,4.166666666666667,13,10.833333333333334,107,89.16666666666667,13,10.833333333333334,6.441141154173441,17.65536021529167,0,20690.152777777777,20690.0,6.513528267956442,4.429503977298737,18.6123865544796,0
Irish,Llama-3.1-8B,234,234,39,234,100.0,0,0.0,234,100.0,0,0.0,198,84.61538461538461,2,0.8547008547008547,34,14.52991452991453,200,85.47008547008546,34,14.52991452991453,10.587705030108255,19.617903015230283,0,20181.076923076922,20204.0,5.17026997045574,4.277191579341888,10.679887503385544,0
Irish,Qwen2.5-14B,234,234,39,197,84.1880341880342,37,15.811965811965813,197,84.1880341880342,8,4.060913705583756,135,68.52791878172589,0,0.0,62,31.472081218274113,135,68.52791878172589,54,27.411167512690355,21.659033724853177,34.02740645408577,8,20690.18376068376,20690.5,6.3786864222114925,4.461910665035248,18.58324421048164,0
Italian,Llama-3.1-8B,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,102,89.47368421052632,0,0.0,12,10.526315789473685,102,89.47368421052632,12,10.526315789473685,6.124687756235367,17.50151230893634,0,20175.63157894737,20188.5,5.4449911060040455,4.447685182094574,10.845809376239776,0
Italian,Qwen2.5-14B,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,0,0.0,74,77.89473684210526,0,0.0,21,22.105263157894736,74,77.89473684210526,21,22.105263157894736,14.93735294724527,31.441423092325326,0,20689.85087719298,20690.5,6.11341466558607,4.453086972236633,18.40302230119705,0
Japanese,Llama-3.1-8B,102,102,17,102,100.0,0,0.0,102,100.0,0,0.0,100,98.03921568627452,0,0.0,2,1.9607843137254901,100,98.03921568627452,2,1.9607843137254901,0.5393752169586284,6.8693084010348935,0,20183.41176470588,20215.0,5.164521494332482,4.170632004737854,10.56652386188507,0
