language,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Czech,312,312,26,286,91.66666666666667,26,8.333333333333334,286,91.66666666666667,0,0.0,256,89.5104895104895,4,1.3986013986013985,26,9.090909090909092,260,90.9090909090909,26,9.090909090909092,6.279388289195005,12.986819881265376,0,20432.6891025641,20258.5,5.47721643306506,4.4562473595142365,10.959435701370237,0
Danish,408,408,34,376,92.15686274509804,32,7.8431372549019605,376,92.15686274509804,1,0.26595744680851063,351,93.35106382978724,1,0.26595744680851063,24,6.382978723404255,352,93.61702127659575,23,6.117021276595745,4.110338003122044,9.011309901095283,1,20435.125,20262.0,5.746431292418172,4.44221830368042,18.38111781477928,0
Dutch,276,276,23,253,91.66666666666667,23,8.333333333333334,253,91.66666666666667,5,1.976284584980237,211,83.39920948616601,0,0.0,42,16.600790513833992,211,83.39920948616601,37,14.624505928853756,10.799948205334209,19.5072534349729,5,20434.347826086956,20262.0,5.690863541070966,4.468070596456528,18.365048855543137,0
English,120,120,10,111,92.5,9,7.5,111,92.5,2,1.8018018018018018,89,80.18018018018019,0,0.0,22,19.81981981981982,89,80.18018018018019,20,18.01801801801802,11.977587290242194,26.198050036992814,2,20434.166666666668,20262.5,6.364223239322503,4.400887578725815,19.55306879878044,0
Estonian,348,348,29,320,91.95402298850574,28,8.045977011494253,320,91.95402298850574,0,0.0,288,90.0,0,0.0,32,10.0,288,90.0,32,10.0,7.172807954679702,13.776164751825078,0,20434.5,20264.5,5.905236368035448,4.439341723918915,18.383181273937225,0
Filipino (Tagalog),312,312,26,288,92.3076923076923,24,7.6923076923076925,288,92.3076923076923,1,0.3472222222222222,256,88.88888888888889,3,1.0416666666666667,29,10.069444444444445,259,89.93055555555556,28,9.722222222222221,6.812318764515914,13.692464573159357,1,20436.08653846154,20264.5,6.201226299389814,4.447857022285461,18.589729976654052,0
Finnish,336,336,28,311,92.55952380952381,25,7.440476190476191,311,92.55952380952381,0,0.0,286,91.96141479099678,3,0.9646302250803859,22,7.07395498392283,289,92.92604501607717,22,7.07395498392283,4.717625956318307,10.477786680852962,0,20433.45238095238,20263.0,5.921951150255544,4.408066749572754,18.63111501932144,0
French,228,228,19,209,91.66666666666667,19,8.333333333333334,209,91.66666666666667,1,0.4784688995215311,183,87.5598086124402,0,0.0,26,12.440191387559809,183,87.5598086124402,25,11.961722488038278,8.234870281163168,17.061638734992492,1,20435.583333333332,20261.5,5.2443761974573135,4.466243088245392,10.58764289021492,0
Fula,576,576,48,530,92.01388888888889,46,7.986111111111111,530,92.01388888888889,19,3.5849056603773586,378,71.32075471698113,0,0.0,152,28.67924528301887,378,71.32075471698113,133,25.09433962264151,21.59140186055339,28.95571364763498,19,20438.774305555555,20263.5,5.902528805347781,4.445258677005768,18.37633377313614,0
Galician,264,264,22,243,92.04545454545455,21,7.954545454545454,243,92.04545454545455,0,0.0,198,81.48148148148148,2,0.823045267489712,43,17.695473251028808,200,82.3045267489712,43,17.695473251028808,13.410917758078627,22.985504159827407,0,20435.23106060606,20262.5,5.817614743203828,4.420752942562103,18.330647259950638,0
Ganda,732,732,61,675,92.21311475409836,57,7.786885245901639,675,92.21311475409836,29,4.296296296296297,450,66.66666666666667,0,0.0,225,33.333333333333336,450,66.66666666666667,196,29.037037037037038,25.73887675985108,32.5724496444559,29,20436.905737704918,20263.0,6.0388904231005025,4.454770028591156,18.738962656259535,0
