language,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Bulgarian,32k,174,174,29,147,84.48275862068965,27,15.517241379310345,147,84.48275862068965,0,0.0,129,87.75510204081633,0,0.0,18,12.244897959183673,129,87.75510204081633,18,12.244897959183673,7.8875707383624,18.525233229579758,0,32560.16091954023,32611.5,8.46561064357045,8.516265571117401,19.709648609161377,0
Bulgarian,8k,174,174,29,174,100.0,0,0.0,174,100.0,0,0.0,158,90.80459770114942,0,0.0,16,9.195402298850574,158,90.80459770114942,16,9.195402298850574,5.739413705063323,14.41418774330914,0,8308.770114942528,8353.5,3.4085890938495766,3.7176945209503174,5.465949320793151,0
Burmese,32k,168,168,28,141,83.92857142857143,27,16.071428571428573,141,83.92857142857143,0,0.0,118,83.68794326241135,0,0.0,23,16.31205673758865,118,83.68794326241135,23,16.31205673758865,11.122446485481971,23.288597994810896,0,32574.571428571428,32634.0,8.021744255863485,8.535433769226074,18.896156108379365,0
Burmese,8k,168,168,28,168,100.0,0,0.0,168,100.0,0,0.0,136,80.95238095238095,0,0.0,32,19.047619047619047,136,80.95238095238095,32,19.047619047619047,13.827819324386684,25.65127919250991,0,8324.44642857143,8370.5,3.5272743709030605,3.876324236392975,5.565484821796418,0
Catalan,32k,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,0,0.0,74,77.89473684210526,2,2.1052631578947367,19,20.0,76,80.0,19,20.0,13.194547057639713,29.137344154728662,0,32563.122807017542,32603.5,7.831741233666738,5.537820219993591,18.672918009757996,0
Catalan,8k,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,88,77.19298245614036,1,0.8771929824561403,25,21.92982456140351,89,78.0701754385965,25,21.92982456140351,15.318376080646317,30.37136618792023,0,8307.82456140351,8344.5,3.492615675717069,3.7279585003852844,6.032950234413146,0
Cebuano,32k,234,234,39,197,84.1880341880342,37,15.811965811965813,197,84.1880341880342,2,1.015228426395939,158,80.20304568527919,0,0.0,39,19.79695431472081,158,80.20304568527919,37,18.781725888324875,13.944408597619834,24.813255919340733,2,32564.777777777777,32627.0,8.756223336244242,8.554486870765686,19.950847977399825,0
Cebuano,8k,234,234,39,234,100.0,0,0.0,234,100.0,0,0.0,188,80.34188034188034,0,0.0,46,19.65811965811966,188,80.34188034188034,46,19.65811965811966,15.073823549648639,25.222539959014444,0,8313.41452991453,8364.0,3.44003329725347,3.7751402854919434,5.777842319011687,0
Chinese (Simplified),32k,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,0,0.0,103,92.7927927927928,0,0.0,8,7.207207207207207,103,92.7927927927928,8,7.207207207207207,3.6970084265527414,13.580252785944804,0,32563.780303030304,32606.5,8.532199483026158,8.553250432014465,19.40712089538574,0
Chinese (Simplified),8k,132,132,22,132,100.0,0,0.0,132,100.0,0,0.0,124,93.93939393939394,0,0.0,8,6.0606060606060606,124,93.93939393939394,8,6.0606060606060606,3.1026884470063116,11.503646756507766,0,8311.977272727272,8335.5,3.350989245104067,3.059862792491913,5.842780858278274,0
Chinese (Traditional),32k,120,120,20,101,84.16666666666667,19,15.833333333333334,101,84.16666666666667,0,0.0,95,94.05940594059406,0,0.0,6,5.9405940594059405,95,94.05940594059406,6,5.9405940594059405,2.750812751388777,12.359105594737155,0,32563.416666666668,32607.5,8.019798872371515,8.64766538143158,18.5744087100029,0
Chinese (Traditional),8k,120,120,20,120,100.0,0,0.0,120,100.0,1,0.8333333333333334,107,89.16666666666667,0,0.0,13,10.833333333333334,107,89.16666666666667,12,10.0,5.813359202601077,16.6681741108952,1,8312.525,8357.0,3.584727627038956,3.7853376865386963,5.563156968355178,0
Croatian,32k,162,162,27,136,83.95061728395062,26,16.049382716049383,136,83.95061728395062,2,1.4705882352941178,116,85.29411764705883,0,0.0,20,14.705882352941176,116,85.29411764705883,18,13.235294117647058,8.538611971088713,19.951836538733524,2,32558.746913580246,32603.5,7.852437825114639,8.51599496603012,18.713678562641142,0
Croatian,8k,162,162,27,162,100.0,0,0.0,162,100.0,1,0.6172839506172839,144,88.88888888888889,0,0.0,18,11.11111111111111,144,88.88888888888889,17,10.493827160493828,6.655616380546947,16.162235735435626,1,8308.697530864198,8359.0,3.574353430374169,3.785420298576355,5.834233498573303,0
Czech,32k,156,156,26,130,83.33333333333333,26,16.666666666666668,130,83.33333333333333,0,0.0,112,86.15384615384616,4,3.076923076923077,14,10.76923076923077,116,89.23076923076923,14,10.76923076923077,6.524133961643789,17.266296224380834,0,32558.641025641027,32604.0,7.381972424112833,5.689737975597382,18.636188864707947,0
Czech,8k,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,144,92.3076923076923,0,0.0,12,7.6923076923076925,144,92.3076923076923,12,7.6923076923076925,4.4548358477153815,12.963335273912035,0,8306.73717948718,8334.5,3.5724604420172863,3.8028555512428284,6.110690653324127,0
Danish,32k,204,204,34,172,84.31372549019608,32,15.686274509803921,172,84.31372549019608,1,0.5813953488372093,161,93.6046511627907,1,0.5813953488372093,10,5.813953488372093,162,94.18604651162791,9,5.232558139534884,2.776975891600163,9.644132854412861,1,32561.735294117647,32604.5,8.007241044850911,8.513217508792877,19.2770080268383,0
Danish,8k,204,204,34,204,100.0,0,0.0,204,100.0,0,0.0,190,93.13725490196079,0,0.0,14,6.862745098039215,190,93.13725490196079,14,6.862745098039215,4.131671149496159,11.188399735958852,0,8308.514705882353,8332.0,3.4856215399854324,3.7520101070404053,5.91522376537323,0
Dutch,32k,138,138,23,115,83.33333333333333,23,16.666666666666668,115,83.33333333333333,2,1.7391304347826086,98,85.21739130434783,0,0.0,17,14.782608695652174,98,85.21739130434783,15,13.043478260869565,8.066384692772067,20.409754153481508,2,32559.057971014492,32601.5,7.750141318293585,8.56067430973053,18.717237079143526,0
Dutch,8k,138,138,23,138,100.0,0,0.0,138,100.0,3,2.1739130434782608,113,81.8840579710145,0,0.0,25,18.115942028985508,113,81.8840579710145,22,15.942028985507246,10.769892860575329,22.958933124760794,3,8309.63768115942,8353.5,3.631585763848346,3.862982928752899,5.992356538772583,0
English,32k,60,60,10,51,85.0,9,15.0,51,85.0,2,3.9215686274509802,43,84.31372549019608,0,0.0,8,15.686274509803921,43,84.31372549019608,6,11.764705882352942,5.505073677918175,23.380844314322463,2,32560.15,32603.5,9.37903238038222,5.694484114646912,22.56716319322586,0
English,8k,60,60,10,60,100.0,0,0.0,60,100.0,0,0.0,46,76.66666666666667,0,0.0,14,23.333333333333332,46,76.66666666666667,14,23.333333333333332,14.439561736642831,35.436270377601964,0,8308.183333333332,8327.0,3.3494140982627867,3.136087119579315,6.183684146404266,0
Estonian,32k,174,174,29,146,83.9080459770115,28,16.091954022988507,146,83.9080459770115,0,0.0,133,91.0958904109589,0,0.0,13,8.904109589041095,133,91.0958904109589,13,8.904109589041095,5.277427149060861,14.637928090775349,0,32559.114942528737,32607.0,8.269628599114801,8.538212060928345,19.187052381038665,0
